,City,Country ID,Temperature,Latitude,Longitude,Humidity,Cloudiness,Wind Speed (mph)
147,Constantine,DZ,39.2,36.36,6.61,86,75,11.41
148,Constitucion,MX,57.2,23.99,-104.67,50,20,6.93
149,Coquimbo,CL,69.8,-29.95,-71.34,64,0,12.75
150,Coro,VE,84.68,11.41,-69.67,66,0,13.69
151,Cortez,US,39.2,37.35,-108.58,55,1,8.43
152,Curaca,BR,76.45,-8.99,-39.91,96,32,4.07
153,Dalianwan,CN,21.2,39.03,121.69,31,0,11.18
154,Dalvik,SE,28.4,57.79,14.13,79,75,9.17
155,Damaturu,NG,86.26,11.75,11.96,58,0,2.84
156,Darhan,MN,-4.11,49.49,105.92,59,48,4.85
157,Daru,SL,94.22,7.99,-10.85,33,56,4.63
158,Deputatskiy,RU,-11.4,69.3,139.9,70,80,2.73
159,Derbent,RU,31.81,42.06,48.29,92,64,2.84
160,Dhidhdhoo,MV,83.2,6.88,73.1,97,0,9.78
161,Dicabisagan,PH,74.2,17.08,122.42,100,76,6.98
162,Diego de Almagro,CL,80.45,-26.39,-70.05,48,0,5.41
163,Dikson,RU,23.39,73.51,80.55,93,92,28.23
164,Dingle,PH,70.64,11,122.67,94,0,3.74
165,Diofior,SN,87.76,14.19,-16.66,31,0,9.17
166,Divnomorskoye,RU,45.89,44.5,38.13,84,36,7.99
167,Dogondoutchi,NE,86.71,13.64,4.03,20,32,8.43
168,Doha,QA,69.8,25.29,51.53,35,0,2.24
169,Doka,SD,76.27,13.52,35.76,35,0,4.74
170,Douentza,ML,74.56,15.01,-2.95,22,0,9.44
171,Dourados,BR,77.98,-22.22,-54.81,100,88,5.41
172,East London,ZA,66.2,-33.02,27.91,93,90,14.99
173,Egvekinot,RU,17.23,66.32,-179.17,85,92,2.73
174,Emerald,AU,66.28,-23.53,148.16,68,0,2.28
175,Englehart,CA,14,47.82,-79.87,92,75,9.17
176,Erenhot,CN,-1.18,43.65,111.97,41,36,16.04
177,Erice,IT,53.55,38.04,12.59,58,20,17.22
178,Esperance,TT,84.2,10.24,-61.45,66,40,19.46
179,Esso,RU,-3.88,55.93,158.7,68,36,2.06
180,Estelle,US,33.08,32.87,-97.01,86,90,13.87
181,Eunice,US,68,30.49,-92.42,94,90,3.36
182,Eureka,US,51.04,40.8,-124.16,71,90,3.36
183,Evensk,RU,9.22,61.92,159.24,100,80,6.42
184,Faanui,PF,79.42,-16.48,-151.75,100,92,13.13
185,Fairbanks,US,-24.38,64.84,-147.72,74,1,2.95
186,Faya,SA,64.45,18.39,42.45,82,0,4.7
187,Fort Carson,US,16.11,38.74,-104.79,92,75,4.7
188,Fort Nelson,CA,6.8,58.81,-122.69,84,75,2.39
189,Fortuna,ES,53.55,38.18,-1.13,32,40,13.87
190,Freeport,BS,78.8,26.54,-78.7,78,75,12.75
191,Galesong,ID,75.2,-5.32,119.37,94,20,2.24
192,Gambela,ET,67.36,8.25,34.59,69,0,0.72
193,Gao,ML,72.17,16.28,-0.04,32,0,7.54
194,Gari,RU,-4.6,59.43,62.35,55,20,2.39
195,Garissa,KE,86.03,-0.46,39.64,45,48,9.1
196,Gayny,RU,10.12,60.3,54.33,82,88,2.84
197,General Roca,AR,68,-39.03,-67.58,24,0,1.12
198,Georgetown,GY,73.4,6.8,-58.16,100,90,9.17
199,Geraldton,CA,3.2,49.72,-86.95,65,5,6.93
200,Gimli,CA,3.05,50.63,-96.99,83,64,11.34
201,Gizo,IL,66.92,31.8,34.94,64,0,1.12
202,Gondar,PT,49.84,41.82,-8.78,76,75,11.41
203,Granadilla de Abona,ES,61.9,28.12,-16.58,63,40,18.34
204,Grand Gaube,MU,82.7,-20.01,57.66,100,12,5.97
205,Greensboro,US,50.38,36.07,-79.79,100,90,3.36
206,Grindavik,IS,29.82,63.84,-22.43,73,75,29.97
207,Gua Musang,MY,73.12,4.88,101.97,66,76,2.17
208,Gualeguay,AR,84.14,-33.15,-59.31,69,0,7.54
209,Guarapari,BR,87.8,-20.67,-40.5,62,0,17.22
210,Guarda,PT,42.07,40.54,-7.27,71,0,6.98
211,Guerrero Negro,MX,62.32,27.97,-114.04,83,20,4.18
212,Haines Junction,CA,-25.53,60.75,-137.51,34,0,2.17
213,Half Moon Bay,US,55.8,37.46,-122.43,76,1,13.87
214,Hami,CN,4,42.84,93.51,51,0,3.4
215,Hamilton,BM,71.6,32.3,-64.78,83,40,8.05
216,Harper,US,53.06,30.3,-99.24,87,90,4.7
217,Harrison,US,40.28,39.26,-84.82,86,90,5.82
218,Hasaki,JP,45.39,35.73,140.83,93,75,3.36
219,Hatillo,PR,80.6,18.49,-66.83,69,40,24.16
220,Havelock,US,67.39,34.88,-76.9,94,90,16.11
221,Havre-Saint-Pierre,CA,17.6,50.23,-63.6,72,75,16.11
222,Hay River,CA,-4.01,60.82,-115.79,70,75,6.93
223,Heihe,RU,-13.01,50.24,127.51,75,0,4.47
224,Henties Bay,NA,68.03,-22.12,14.28,86,0,6.87
225,Hermanus,ZA,60.61,-34.42,19.24,65,48,4.52
226,Hervey Bay,AU,76.94,-25.3,152.85,95,0,10.78
227,High Level,CA,15.8,58.52,-117.13,72,75,9.17
228,Hilo,US,45.99,19.71,-155.08,63,1,10.29
229,Hit,IQ,53.95,33.64,42.83,63,56,2.73
230,Hithadhoo,MV,82.03,-0.6,73.08,100,56,3.96
231,Hobart,AU,59,-42.88,147.33,72,75,6.93
232,Honiara,SB,77,-9.43,159.96,94,20,2.17
233,Hovd,NO,34.9,63.83,10.7,50,0,9.17
234,Hualmay,PE,78.02,-11.1,-77.61,65,24,5.75
235,Huarmey,PE,79.19,-10.07,-78.15,56,0,3.96
236,Hukuntsi,BW,72.08,-23.98,21.76,70,44,3.29
237,Husavik,CA,3.05,50.56,-96.99,83,64,11.34
238,Ifakara,TZ,76.4,-8.13,36.68,78,48,3.74
239,Igrim,RU,-5.95,63.19,64.42,59,32,2.39
240,Ilanskiy,RU,7.28,56.24,96.06,77,68,2.95
241,Ilhabela,BR,82.3,-23.78,-45.36,92,20,5.64
242,Ilulissat,GL,-2.21,69.22,-51.1,64,75,16.11
243,Imeni Poliny Osipenko,RU,-5.86,52.42,136.49,70,56,6.31
244,Independenta,RO,33.52,45.48,27.75,88,76,6.87
245,Inhambane,MZ,79.33,-23.87,35.38,91,92,14.7
246,Inongo,CD,78.61,-1.93,18.29,85,20,1.28
247,Invermere,CA,3.1,50.51,-116.03,70,32,1.83
248,Iqaluit,CA,-32.81,63.75,-68.52,59,75,4.7
249,Iracoubo,GF,72.22,5.48,-53.21,99,92,3.4
250,Iranshahr,IR,62.6,27.21,60.69,36,20,4.7
251,Isangel,VU,76.67,-19.55,169.27,100,80,7.31
252,Ishigaki,JP,64.75,24.34,124.16,100,92,31.81
253,Ishurdi,BD,62.45,24.13,89.07,79,56,2.73
254,Itanhandu,BR,93.2,-22.3,-44.93,38,40,4.7
255,Itarema,BR,83.38,-2.92,-39.92,78,68,12.12
256,Iwanai,JP,34.1,42.97,140.51,100,92,9.55
257,Ixtapa,MX,77,20.71,-105.21,57,75,1.16
258,Jamestown,AU,62.86,-33.21,138.6,92,0,6.64
259,Jeremie,HT,79.28,18.65,-74.12,93,0,3.96
260,Jian,IN,56.56,25.65,87.89,69,36,3.96
261,Jieshi,CN,57.5,22.82,115.83,100,24,14.14
262,Jilotepec,MX,69.47,19.61,-96.95,68,0,2.62
263,Jiuquan,CN,-11.26,39.73,98.49,58,0,5.19
264,Juneau,US,5,58.3,-134.42,92,20,2.84
265,Kadoma,ZW,69.97,-18.34,29.91,59,76,11.45
266,Kaeo,NZ,70.33,-35.1,173.78,95,92,12.8
267,Kahului,US,62.96,20.89,-156.47,60,40,13.87
268,Kaili,ID,71.68,-3.46,120.21,87,88,2.39
269,Kaitangata,NZ,59.62,-46.28,169.85,89,76,15.82
270,Kaiyuan,CN,1.03,42.54,124.04,51,44,6.42
271,Kalat,PK,35.86,29.03,66.58,81,92,2.62
272,Kalmunai,LK,69.74,7.42,81.82,97,0,3.62
273,Kamenka,RU,15.16,53.19,44.05,81,48,10.78
274,Kangaatsiaq,GL,-1.68,68.31,-53.46,100,36,9.78
275,Kanungu,UG,60.83,-0.9,29.78,91,0,3.4
276,Kapaa,US,61.43,22.08,-159.32,77,20,9.17
277,Kapchorwa,UG,62.41,1.4,34.45,59,0,5.41
278,Kapit,MY,73.12,2.02,112.94,100,92,1.28
279,Karatuzskoye,RU,-4.6,53.61,92.87,52,0,1.39
280,Kargat,RU,7.73,55.19,80.28,84,64,3.18
281,Karratha,AU,79.51,-20.74,116.85,80,8,5.75
282,Kaspiyskiy,RU,21.55,45.39,47.37,84,48,15.26
283,Katakwi,UG,76.18,1.91,33.96,39,0,13.8
284,Katangli,RU,8.09,51.71,143.23,100,56,10.33
285,Katherine,AU,78.8,-14.47,132.26,83,36,1.12
286,Katiola,CI,89,8.14,-5.1,26,0,4.29
287,Katsuura,JP,40.04,33.93,134.5,96,92,12.24
288,Kavaratti,IN,82.79,10.57,72.64,100,20,5.19
289,Kavieng,PG,82.25,-2.57,150.8,100,32,10.67
290,Kazanskaya,RU,39.14,45.41,40.44,90,0,12.68
291,Kedgwick,CA,25.96,47.65,-67.35,80,92,7.65
292,Kendal,ID,69.7,-6.92,110.2,100,100,2.51
293,Ketchikan,US,24.21,55.34,-131.65,85,20,4.7
294,Khandyga,RU,-31.6,62.65,135.58,53,20,2.62
295,Khash,IR,38.69,28.22,61.21,95,92,2.17
296,Khatanga,RU,4.63,71.98,102.47,79,76,14.14
297,Kholmogory,RU,19.4,64.23,41.65,100,90,6.71
298,Kidal,ML,64.7,18.44,1.41,25,12,6.76
299,Kijang,KR,22.22,35.24,129.21,40,0,9.22
300,Kirakira,SB,80.05,-10.46,161.92,100,56,6.31
301,Kirgiz-Miyaki,RU,6.07,53.63,54.8,81,56,5.41
302,Kiruna,SE,23,67.86,20.23,92,90,12.75
303,Kisangani,CD,74.78,0.52,25.21,97,24,1.95
304,Kitimat,CA,1.4,54.02,-128.69,84,75,4.7
305,Klaksvik,FO,37.4,62.23,-6.59,64,56,20.8
306,Kloulklubed,PW,76.93,7.04,134.26,94,90,14.81
307,Klyuchi,RU,10.25,52.25,79.17,81,56,4.63
308,Kodiak,US,17.6,39.95,-94.76,61,75,14.99
309,Kokopo,PG,79.1,-4.34,152.27,100,80,6.76
310,Koson,UZ,33.8,39.04,65.59,47,0,2.24
311,Koutiala,ML,83.65,12.39,-5.46,26,0,9.78
312,Krasnogorskiy,RU,5.62,55.39,83.61,84,36,3.96
313,Krasnokamensk,RU,-5.91,50.1,118.04,53,56,8.66
314,Kresttsy,RU,24.2,58.25,32.52,89,92,8.1
315,Kropotkin,RU,37.79,45.43,40.58,91,0,12.46
316,Kroya,ID,72.08,-6.5,108.06,95,80,2.73
317,Kruisfontein,ZA,66.73,-34,24.73,81,88,9.22
318,Kulhudhuffushi,MV,83.2,6.62,73.07,97,0,9.78
319,Kuloy,RU,16.19,61.03,42.49,84,76,9.66
320,Kumba,CM,75.82,4.64,9.44,94,44,2.17
321,Kungurtug,RU,-9.87,50.6,97.53,56,36,3.74
322,Kunming,CN,44.6,25.04,102.71,70,0,8.95
