,Account Name,Tweet Text,Compound Score,Positive Score,Neutral Score,Negative Score,Date
31,CNN,"Sue Grafton, the best-selling mystery writer who penned 25 novels with alphabet-based titles, has died after a bout… https://t.co/qN3tT5yy5F",-0.5574,0.0,0.825,0.175,Fri Dec 29 23:46:03 +0000 2017
32,CNN,Donald Trump doesn't know the difference between climate and weather | Analysis by Chris Cillizza… https://t.co/zDT4ym6dYf,0.0,0.0,1.0,0.0,Fri Dec 29 23:31:03 +0000 2017
33,CNN,2017: A year of monumental change in the media https://t.co/3mLgKmbLMq,0.0,0.0,1.0,0.0,Fri Dec 29 23:16:08 +0000 2017
34,CNN,"RT @CNNSitRoom: Democrat David Cicilline slams Trump's handling of North Korea: ""We need to tone down the rhetoric. ... This situation has…",0.0,0.0,1.0,0.0,Fri Dec 29 23:04:48 +0000 2017
35,CNN,Beatles drummer Ringo Starr and BeeGees co-founder Barry Gibb have been knighted in Queen Elizabeth's 2018 New Year… https://t.co/4eeiWuIAEf,0.0,0.0,1.0,0.0,Fri Dec 29 22:56:16 +0000 2017
36,CNN,"Across the country, many Americans will ring in 2018 with a raise. Here's where the minimum wage is going up next y… https://t.co/mQxazKwFGt",0.0,0.0,1.0,0.0,Fri Dec 29 22:47:58 +0000 2017
37,CNN,President Trump lays out his immigration deal demands https://t.co/5F7BlQYATD https://t.co/X8H760G673,0.0,0.0,1.0,0.0,Fri Dec 29 22:36:41 +0000 2017
38,CNN,"RT @CNNSitRoom: ""The statement that (President Trump) can do absolutely whatever he wants is a complete misunderstanding of the role of the…",-0.4215,0.0,0.877,0.123,Fri Dec 29 22:35:16 +0000 2017
39,CNN,The US State Department posted a number of emails belonging to former top Hillary Clinton aide Huma Abedin that the… https://t.co/oSDT6wsVCz,0.2732,0.147,0.853,0.0,Fri Dec 29 22:18:03 +0000 2017
40,CNN,Regional or widespread flu activity has been reported across most of the US. Have you caught it? Here are some step… https://t.co/7mLYXDjZJI,-0.3818,0.0,0.89,0.11,Fri Dec 29 22:13:02 +0000 2017
41,CNN,"Review: ""Black Mirror"" returns solid, with some cracks https://t.co/y6ybHPKCev https://t.co/iWKzDBgR2G",0.1531,0.151,0.849,0.0,Fri Dec 29 22:06:07 +0000 2017
