,Account Name,Tweet Text,Compound Score,Positive Score,Neutral Score,Negative Score,Date
30,Fox News,".@RCamposDuffy on @POTUS' year in review: ""He's really got just an America first agenda and so he's not tied to any… https://t.co/7NF1mwsFPe",0.0,0.0,1.0,0.0,Sat Dec 30 00:57:03 +0000 2017
31,Fox News,".@davecatanese's Winner of 2017: ""@WhiteHouse Chief of Staff John Kelly: ""I think you have to credit General Kelly… https://t.co/ENg4vbueqw",0.7506,0.274,0.726,0.0,Sat Dec 30 00:56:24 +0000 2017
32,Fox News,"Wendy Osefo on @POTUS taking on ISIS: ""When [Obama] was looking at Afghanistan and Iran, he had bipartisan support… https://t.co/EK6UF5N7cO",0.0,0.0,1.0,0.0,Sat Dec 30 00:53:05 +0000 2017
33,Fox News,"RT @MikeEmanuelFox: From #SpecialReport, @sendavidperdue talks about time he spent this week with President Trump and a look ahead to 2018:…",0.0,0.0,1.0,0.0,Sat Dec 30 00:52:00 +0000 2017
34,Fox News,".@RCamposDuffy on @POTUS' year in review: ""Failing on health care might have been what made the tax bill not only g… https://t.co/D2mdFhLMLF",-0.0258,0.121,0.755,0.125,Sat Dec 30 00:48:46 +0000 2017
35,Fox News,".@trish_regan: ""How has Las Vegas and some of these other events changed the way law enforcement approaches these b… https://t.co/Prf5ZgJSy5",0.0,0.0,1.0,0.0,Sat Dec 30 00:41:20 +0000 2017
36,Fox News,".@sarahcwestwood's Winner of 2017: @SpeakerRyan: ""House Republicans [have] been able to work together a lot more ef… https://t.co/OGWSjqgH2c",0.5859,0.192,0.808,0.0,Sat Dec 30 00:38:37 +0000 2017
37,Fox News,".@AmbJohnBolton on North Korean sanctions: ""China's got to deliver in a very short period of time or we face a very… https://t.co/XK5DqnGkUu",0.0,0.0,1.0,0.0,Sat Dec 30 00:33:00 +0000 2017
38,Fox News,".@jasonrileywsj's Winner of 2017: The @GOP: ""They showed that...Republicans couldn't just win elections, they could… https://t.co/BGfB2jMtJb",0.1847,0.182,0.671,0.147,Sat Dec 30 00:27:50 +0000 2017
39,Fox News,"Jonathan Turley on classified documents on Anthony Weiner's laptop: ""I also think it's strange for Democrats to say… https://t.co/fYt3elpPl2",-0.2023,0.0,0.909,0.091,Sat Dec 30 00:24:02 +0000 2017
